Report Number,Category,Offense Parent Group,Offense,MCPP,Longitude,Latitude
2010-109395,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,RAINIER BEACH,-122.2684826,47.51826963
2010-110339,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,HILLMAN CITY,-122.2859474,47.54706873
2010-110855,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.3268303,47.61352218
2010-111837,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,ROOSEVELT/RAVENNA,-122.3142558,47.67274446
2010-111965,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,PIONEER SQUARE,-122.331777,47.60149293
2010-111978,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.3181689,47.6158384
2010-112098,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTHGATE,-122.321709,47.69768161
2010-113074,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTHGATE,-122.3446554,47.7017921
2010-113489,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BALLARD SOUTH,-122.3808735,47.66794819
2010-115176,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3428796,47.60981273
2010-118540,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BALLARD NORTH,-122.376794,47.69698014
2010-119025,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,WALLINGFORD,-122.3421454,47.66138529
2010-120779,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SODO,-122.329974,47.58507265
2010-122341,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CENTRAL AREA/SQUIRE PARK,-122.2975565,47.60850427
2010-123672,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,MOUNT BAKER,-122.3045541,47.58772916
2010-124056,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.3268036,47.6167093
2010-124580,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,RAINIER BEACH,-122.2796585,47.52132099
2010-125291,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,RAINIER BEACH,-122.269986,47.52330727
2010-125434,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,LAKECITY,-122.3029351,47.70072151
2010-126614,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,WALLINGFORD,-122.3324939,47.64829623
2010-126631,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CHINATOWN/INTERNATIONAL DISTRICT,-122.3270316,47.59583677
2010-126780,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SANDPOINT,-122.2959799,47.69310515
2010-126782,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SLU/CASCADE,-122.3475944,47.62175679
2010-126952,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTH DELRIDGE,-122.3548306,47.54925839
2010-129031,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,LAKECITY,-122.2970271,47.7162457
2010-129318,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,UNIVERSITY,-122.3108159,47.66397982
2010-129932,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,QUEEN ANNE,-122.3435002,47.63285877
2010-130943,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,GREENWOOD,-122.3459871,47.70052858
2010-131654,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,RAINIER VIEW,-122.2720364,47.51070128
2010-132988,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BELLTOWN,-122.3520282,47.61663608
2010-133667,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,RAINIER BEACH,-122.2699747,47.51949962
2010-134142,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,MID BEACON HILL,-122.3041397,47.55883618
2010-134882,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3383483,47.60951744
2010-134958,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,GENESEE,-122.2770362,47.56998762
2010-135117,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BALLARD NORTH,-122.3768044,47.6915193
2010-135209,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,QUEEN ANNE,-122.3409938,47.63099174
2010-139896,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CHINATOWN/INTERNATIONAL DISTRICT,-122.3263622,47.59877329
2010-140053,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,UNIVERSITY,-122.3130286,47.67021431
